person name,problem,solution,when
Karan Patel,Chatter marks observed in 4 parts (0.5%) from CNC1 during Shift A.,"Enhanced maintenance schedules and replaced faulty components.",2025-05-23
Rajiv Menon,Chatter marks observed in 3 parts (0.4%) from CNC1 during Shift C.,"Collaborated with QA team to revise inspection protocols.",2024-01-07
Karan Patel,Cracks observed in 2 parts (0.3%) from WeldUnitA during Shift A.,"Collaborated with QA team to revise inspection protocols.",2024-03-29
Nisha Rao,Cracks observed in 1 parts (0.1%) from WeldUnitA during Shift B.,"Collaborated with QA team to revise inspection protocols.",2024-05-01
Anita Desai,Cracks observed in 1 parts (0.1%) from WeldUnitA during Shift C.,"Enhanced maintenance schedules and replaced faulty components.",2024-08-22
Rajiv Menon,Cracks observed in 1 parts (0.1%) from WeldUnitB during Shift A.,"Reviewed process flow and added additional quality checkpoints.",2023-12-21
Rajiv Menon,Cracks observed in 1 parts (0.1%) from WeldUnitB during Shift C.,"Reviewed process flow and added additional quality checkpoints.",2024-12-24
Anita Desai,Excessive burrs observed in 2 parts (0.3%) from CNC1 during Shift A.,"Collaborated with QA team to revise inspection protocols.",2024-06-19
Rajiv Menon,Excessive burrs observed in 4 parts (0.5%) from CNC1 during Shift B.,"Reviewed process flow and added additional quality checkpoints",2025-03-02
Rajiv Menon,Tool wear leading to quality issues,"Integrated a tool condition monitoring system using vibration and sound analysis, created a wear threshold alert system, and scheduled timely replacements based on actual wear data instead of estimated usage.",2022-12-14
Anita Desai,Excessive burrs observed in 1 parts (0.1%) from CNC1 during Shift C.,"Enhanced maintenance schedules and replaced faulty components.",2025-06-03
Anita Desai,Excessive burrs observed in 2 parts (0.3%) from CNC2 during Shift A.,"Collaborated with QA team to revise inspection protocols.",2024-08-31
Karan Patel,Excessive burrs observed in 1 parts (0.1%) from CNC2 during Shift B.,"Upgraded equipment and trained operators on new procedures.",2025-04-29
Karan Patel,Excessive burrs observed in 1 parts (0.1%) from CNC2 during Shift C.,"Reviewed process flow and added additional quality checkpoints.",2024-08-15
Karan Patel,Incomplete fusion observed in 2 parts (0.3%) from WeldUnitA during Shift B.,"Enhanced maintenance schedules and replaced faulty components.",2024-11-17
Nisha Rao,Incomplete fusion observed in 1 parts (0.1%) from WeldUnitB during Shift A.,"Enhanced maintenance schedules and replaced faulty components.",2025-01-30
Karan Patel,Incomplete fusion observed in 1 parts (0.1%) from WeldUnitB during Shift B.,"Upgraded equipment and trained operators on new procedures.",2024-02-19
Ravi Kumar,Incomplete fusion observed in 1 parts (0.1%) from WeldUnitB during Shift C.,"Collaborated with QA team to revise inspection protocols.",2024-07-10
Anita Desai,Label misprint observed in 1 parts (0.1%) from PackLine1 during Shift A.,"Upgraded equipment and trained operators on new procedures.",2025-02-01
Rajiv Menon,Label misprint observed in 1 parts (0.1%) from PackLine1 during Shift B.,"Upgraded equipment and trained operators on new procedures.",2025-03-30
Karan Patel,Label misprint observed in 1 parts (0.1%) from PackLine2 during Shift A.,"Enhanced maintenance schedules and replaced faulty components.",2023-11-15
Ravi Kumar,Label misprint observed in 1 parts (0.1%) from PackLine2 during Shift C.,"Collaborated with QA team to revise inspection protocols.",2024-01-09
Rajiv Menon,Loose joints observed in 1 parts (0.1%) from AssemLineA during Shift B.,"Upgraded equipment and trained operators on new procedures.",2025-01-21
